"RelativePath","Size","AssociatedInf"
"drivers/gw1-w149/display-intel-uhd-graphics/igdgmm64.dll","3435576","drivers/gw1-w149/display-intel-uhd-graphics/oem19.inf"
"drivers/gw1-w149/display-intel-uhd-graphics/igdinfo32.dll","139800","drivers/gw1-w149/display-intel-uhd-graphics/oem19.inf"
"drivers/gw1-w149/display-intel-uhd-graphics/igdinfo64.dll","165864","drivers/gw1-w149/display-intel-uhd-graphics/oem19.inf"
"drivers/gw1-w149/display-intel-uhd-graphics/igdkmd64.sys","28918376","drivers/gw1-w149/display-intel-uhd-graphics/oem19.inf"
"drivers/gw1-w149/display-intel-uhd-graphics/igdkmdn64.sys","28612200","drivers/gw1-w149/display-intel-uhd-graphics/oem19.inf"
"drivers/gw1-w149/display-intel-uhd-graphics/igdlh.cat","7749863","drivers/gw1-w149/display-intel-uhd-graphics/oem19.inf"
"drivers/gw1-w149/display-intel-uhd-graphics/igdmd32.dll","8678392","drivers/gw1-w149/display-intel-uhd-graphics/oem19.inf"
"drivers/gw1-w149/display-intel-uhd-graphics/igdmd64.dll","11147296","drivers/gw1-w149/display-intel-uhd-graphics/oem19.inf"
"drivers/gw1-w149/display-intel-uhd-graphics/igdml32.dll","3361184","drivers/gw1-w149/display-intel-uhd-graphics/oem19.inf"
"drivers/gw1-w149/display-intel-uhd-graphics/igdml64.dll","4335200","drivers/gw1-w149/display-intel-uhd-graphics/oem19.inf"
"drivers/gw1-w149/display-intel-uhd-graphics/igdrcl32.dll","4105576","drivers/gw1-w149/display-intel-uhd-graphics/oem19.inf"
"drivers/gw1-w149/display-intel-uhd-graphics/igdrcl64.dll","4703112","drivers/gw1-w149/display-intel-uhd-graphics/oem19.inf"
"drivers/gw1-w149/display-intel-uhd-graphics/igdumdim32.dll","1313432","drivers/gw1-w149/display-intel-uhd-graphics/oem19.inf"
"drivers/gw1-w149/display-intel-uhd-graphics/igdumdim64.dll","1480568","drivers/gw1-w149/display-intel-uhd-graphics/oem19.inf"
"drivers/gw1-w149/display-intel-uhd-graphics/igfx11cmrt32.dll","183072","drivers/gw1-w149/display-intel-uhd-graphics/oem19.inf"
"drivers/gw1-w149/display-intel-uhd-graphics/igfx11cmrt64.dll","227776","drivers/gw1-w149/display-intel-uhd-graphics/oem19.inf"
"drivers/gw1-w149/display-intel-uhd-graphics/igfxcmrt32.dll","181016","drivers/gw1-w149/display-intel-uhd-graphics/oem19.inf"
"drivers/gw1-w149/display-intel-uhd-graphics/igfxcmrt64.dll","224600","drivers/gw1-w149/display-intel-uhd-graphics/oem19.inf"
"drivers/gw1-w149/display-intel-uhd-graphics/iglhxa64.cpa","1376256","drivers/gw1-w149/display-intel-uhd-graphics/oem19.inf"
"drivers/gw1-w149/display-intel-uhd-graphics/iglhxa64.vp","1125","drivers/gw1-w149/display-intel-uhd-graphics/oem19.inf"
"drivers/gw1-w149/display-intel-uhd-graphics/iglhxc64_dev.vp","43214","drivers/gw1-w149/display-intel-uhd-graphics/oem19.inf"
"drivers/gw1-w149/display-intel-uhd-graphics/iglhxc64.vp","44194","drivers/gw1-w149/display-intel-uhd-graphics/oem19.inf"
"drivers/gw1-w149/display-intel-uhd-graphics/iglhxg64_dev.vp","43732","drivers/gw1-w149/display-intel-uhd-graphics/oem19.inf"
"drivers/gw1-w149/display-intel-uhd-graphics/iglhxg64.vp","43760","drivers/gw1-w149/display-intel-uhd-graphics/oem19.inf"
